dataset,group,model,cluster,n,error,sse
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,85040,63344.598612430214,2610946.6268833233
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,89602,65022.382349361345,2607499.4174960367
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,63416,44615.94686593963,1858208.588196788
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,79540,60250.208240267675,2396172.495912399
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,93622,59186.15966706914,2969711.400708972
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,100617,71276.62214879485,3019628.441555077
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,95401,61024.46767476132,2814891.8693087096
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,107328,65901.00138223369,2959254.536811028
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,107012,68099.87806551483,3019743.157921772
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,100406,55957.70329760211,2850343.528791246
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,80712,51752.875755664616,2369570.8241951247
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,60975,42215.78376506954,1676209.7316337058
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,112228,70819.27308919943,2999423.999552672
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,91713,50474.4101942614,2473966.6905928906
